person_id,treatment
708,0
17337,1
25671,0
26938,0
28087,0
42671,0
47358,1
48862,0
54248,1
55941,0
67337,0
67937,0
72293,1
74551,0
76050,1
79688,1
82720,0
86309,0
109377,0
111603,0
114483,0
117095,0
121982,0
124917,0
139279,0
141874,0
144882,0
146224,1
155568,1
163423,0
164485,1
165021,1
165651,1
169538,1
176677,1
180583,1
182254,0
190232,0
196036,0
227294,0
231297,1
246092,1
251750,1
271994,1
273208,1
296301,1
310997,1
318899,1
325497,1
343258,0
351849,0
384445,0
384576,1
411158,1
433190,0
433582,1
435912,1
437137,0
440720,0
441164,1
443638,0
460803,1
464337,1
464407,1
465561,1
472920,0
482428,1
519683,1
520234,0
528221,1
550068,0
554700,0
564115,0
570283,1
581640,0
594017,0
596274,1
612307,1
621617,0
624853,1
628161,0
632069,1
637544,1
657122,1
670308,0
672554,0
689269,1
693065,1
694578,1
699030,1
700530,0
715681,0
723587,0
731931,0
731981,0
733376,1
735014,0
758474,0
760256,1
764021,1
764068,1
764363,0
765806,0
771044,1
779039,0
782145,1
789868,1
793518,0
800567,0
802139,1
815758,1
816183,0
819869,0
821745,0
826198,0
826276,1
834423,0
840604,0
842216,0
843627,1
846589,0
848631,0
848846,0
850277,0
854481,1
858929,1
864041,1
877931,1
884099,1
885258,1
886534,1
887024,0
887382,0
888331,0
889793,0
891712,0
892869,0
893290,0
901477,1
914767,1
923431,1
925102,1
926457,0
928458,1
935922,0
944930,0
945015,1
957084,1
975750,0
977814,1
983536,0
993715,0
1000964,0
1015695,1
1024434,0
1024851,0
1036168,1
1036746,0
1041859,1
1049600,1
1054673,0
1055835,0
1056638,0
1061851,0
1068541,1
1074850,1
1076150,1
1091424,0
1105177,0
1118245,0
1124099,0
1130732,0
1152459,1
1163575,0
1197424,0
1229717,0
1236278,1
1290925,0
1301275,0
1303116,1
1312966,0
1314654,1
1321378,0
1330903,0
1342378,1
1346587,0
1347421,1
1357447,1
1368623,1
1370208,1
1390710,0
1422914,1
1424117,1
1429334,0
1431446,0
1431597,1
1433589,1
1492182,1
1510542,1
1515889,0
1528446,1
1536030,0
1536977,1
1543177,1
1546469,0
1555499,1
1560844,0
1572296,1
1578263,0
1578665,1
1581367,0
1581373,1
1581666,0
1586233,0
1586579,1
1587934,1
1587963,1
1589752,1
1591114,1
1593511,0
1593862,1
1607959,1
1613091,0
1622888,1
1627725,1
1628366,0
1628432,0
1628569,0
1641284,1
1645642,0
1649910,1
1663070,0
1677252,1
1682083,1
1682233,0
1704530,1
1708731,1
1709224,1
1712152,0
1712337,1
1720093,0
1721555,1
1735781,1
1743785,1
1751305,0
1751449,0
1752226,1
1757201,0
1791647,0
1800564,0
1821564,1
1847862,0
1849848,1
1856694,0
1868056,1
1896442,0
1896510,1
1929980,1
1935315,0
1956569,1
1959617,0
1963398,1
