,Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
0,New Delhi,PM2.5 - Principal,2020-01-01 02:00 AM,2020,1,1,2,608.4,571.0,Hazardous,676.0,UG/M3,1 Hr,Valid
1,New Delhi,PM2.5 - Principal,2020-01-01 03:00 AM,2020,1,1,3,612.7,574.0,Hazardous,617.0,UG/M3,1 Hr,Valid
2,New Delhi,PM2.5 - Principal,2020-01-01 04:00 AM,2020,1,1,4,555.4,536.0,Hazardous,498.0,UG/M3,1 Hr,Valid
3,New Delhi,PM2.5 - Principal,2020-01-01 05:00 AM,2020,1,1,5,494.2,496.0,Hazardous,433.0,UG/M3,1 Hr,Valid
4,New Delhi,PM2.5 - Principal,2020-01-01 06:00 AM,2020,1,1,6,429.1,453.0,Hazardous,364.0,UG/M3,1 Hr,Valid
5,New Delhi,PM2.5 - Principal,2020-01-01 07:00 AM,2020,1,1,7,394.0,430.0,Hazardous,359.0,UG/M3,1 Hr,Valid
6,New Delhi,PM2.5 - Principal,2020-01-01 08:00 AM,2020,1,1,8,390.0,427.0,Hazardous,386.0,UG/M3,1 Hr,Valid
7,New Delhi,PM2.5 - Principal,2020-01-01 09:00 AM,2020,1,1,9,395.9,431.0,Hazardous,399.0,UG/M3,1 Hr,Valid
8,New Delhi,PM2.5 - Principal,2020-01-01 10:00 AM,2020,1,1,10,420.8,447.0,Hazardous,449.0,UG/M3,1 Hr,Valid
9,New Delhi,PM2.5 - Principal,2020-01-01 11:00 AM,2020,1,1,11,390.2,427.0,Hazardous,356.0,UG/M3,1 Hr,Valid
10,New Delhi,PM2.5 - Principal,2020-01-01 12:00 PM,2020,1,1,12,298.4,348.0,Hazardous,208.0,UG/M3,1 Hr,Valid
11,New Delhi,PM2.5 - Principal,2020-01-01 01:00 PM,2020,1,1,13,224.1,274.0,Very Unhealthy,150.0,UG/M3,1 Hr,Valid
12,New Delhi,PM2.5 - Principal,2020-01-01 02:00 PM,2020,1,1,14,181.0,231.0,Very Unhealthy,138.0,UG/M3,1 Hr,Valid
13,New Delhi,PM2.5 - Principal,2020-01-01 03:00 PM,2020,1,1,15,149.9,200.0,Unhealthy,119.0,UG/M3,1 Hr,Valid
14,New Delhi,PM2.5 - Principal,2020-01-01 04:00 PM,2020,1,1,16,138.9,194.0,Unhealthy,128.0,UG/M3,1 Hr,Valid
15,New Delhi,PM2.5 - Principal,2020-01-01 05:00 PM,2020,1,1,17,126.4,188.0,Unhealthy,114.0,UG/M3,1 Hr,Valid
16,New Delhi,PM2.5 - Principal,2020-01-01 06:00 PM,2020,1,1,18,116.6,183.0,Unhealthy,107.0,UG/M3,1 Hr,Valid
17,New Delhi,PM2.5 - Principal,2020-01-01 07:00 PM,2020,1,1,19,138.3,194.0,Unhealthy,160.0,UG/M3,1 Hr,Valid
18,New Delhi,PM2.5 - Principal,2020-01-01 08:00 PM,2020,1,1,20,169.1,219.0,Very Unhealthy,200.0,UG/M3,1 Hr,Valid
19,New Delhi,PM2.5 - Principal,2020-01-01 09:00 PM,2020,1,1,21,192.0,242.0,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
20,New Delhi,PM2.5 - Principal,2020-01-01 10:00 PM,2020,1,1,22,220.9,271.0,Very Unhealthy,250.0,UG/M3,1 Hr,Valid
21,New Delhi,PM2.5 - Principal,2020-01-01 11:00 PM,2020,1,1,23,276.9,327.0,Hazardous,333.0,UG/M3,1 Hr,Valid
22,New Delhi,PM2.5 - Principal,2020-01-02 12:00 AM,2020,1,2,0,352.5,402.0,Hazardous,428.0,UG/M3,1 Hr,Valid
23,New Delhi,PM2.5 - Principal,2020-01-02 01:00 AM,2020,1,2,1,436.8,458.0,Hazardous,521.0,UG/M3,1 Hr,Valid
24,New Delhi,PM2.5 - Principal,2020-01-02 02:00 AM,2020,1,2,2,539.9,526.0,Hazardous,643.0,UG/M3,1 Hr,Valid
25,New Delhi,PM2.5 - Principal,2020-01-02 03:00 AM,2020,1,2,3,610.0,572.0,Hazardous,680.0,UG/M3,1 Hr,Valid
26,New Delhi,PM2.5 - Principal,2020-01-02 04:00 AM,2020,1,2,4,590.0,559.0,Hazardous,570.0,UG/M3,1 Hr,Valid
27,New Delhi,PM2.5 - Principal,2020-01-02 05:00 AM,2020,1,2,5,524.0,516.0,Hazardous,458.0,UG/M3,1 Hr,Valid
28,New Delhi,PM2.5 - Principal,2020-01-02 06:00 AM,2020,1,2,6,413.5,443.0,Hazardous,303.0,UG/M3,1 Hr,Valid
29,New Delhi,PM2.5 - Principal,2020-01-02 07:00 AM,2020,1,2,7,360.8,408.0,Hazardous,308.0,UG/M3,1 Hr,Valid
30,New Delhi,PM2.5 - Principal,2020-01-02 08:00 AM,2020,1,2,8,320.4,370.0,Hazardous,280.0,UG/M3,1 Hr,Valid
31,New Delhi,PM2.5 - Principal,2020-01-02 09:00 AM,2020,1,2,9,306.2,356.0,Hazardous,292.0,UG/M3,1 Hr,Valid
32,New Delhi,PM2.5 - Principal,2020-01-02 10:00 AM,2020,1,2,10,293.6,344.0,Hazardous,281.0,UG/M3,1 Hr,Valid
33,New Delhi,PM2.5 - Principal,2020-01-02 11:00 AM,2020,1,2,11,278.2,328.0,Hazardous,263.0,UG/M3,1 Hr,Valid
34,New Delhi,PM2.5 - Principal,2020-01-02 12:00 PM,2020,1,2,12,259.1,310.0,Hazardous,240.0,UG/M3,1 Hr,Valid
35,New Delhi,PM2.5 - Principal,2020-01-02 01:00 PM,2020,1,2,13,186.5,237.0,Very Unhealthy,114.0,UG/M3,1 Hr,Valid
36,New Delhi,PM2.5 - Principal,2020-01-02 02:00 PM,2020,1,2,14,151.6,202.0,Very Unhealthy,117.0,UG/M3,1 Hr,Valid
37,New Delhi,PM2.5 - Principal,2020-01-02 03:00 PM,2020,1,2,15,124.7,187.0,Unhealthy,98.0,UG/M3,1 Hr,Valid
38,New Delhi,PM2.5 - Principal,2020-01-02 04:00 PM,2020,1,2,16,106.8,177.0,Unhealthy,89.0,UG/M3,1 Hr,Valid
39,New Delhi,PM2.5 - Principal,2020-01-02 05:00 PM,2020,1,2,17,88.3,168.0,Unhealthy,70.0,UG/M3,1 Hr,Valid
40,New Delhi,PM2.5 - Principal,2020-01-02 06:00 PM,2020,1,2,18,90.6,169.0,Unhealthy,93.0,UG/M3,1 Hr,Valid
41,New Delhi,PM2.5 - Principal,2020-01-02 07:00 PM,2020,1,2,19,110.8,180.0,Unhealthy,131.0,UG/M3,1 Hr,Valid
42,New Delhi,PM2.5 - Principal,2020-01-02 08:00 PM,2020,1,2,20,124.8,187.0,Unhealthy,139.0,UG/M3,1 Hr,Valid
43,New Delhi,PM2.5 - Principal,2020-01-02 09:00 PM,2020,1,2,21,166.9,217.0,Very Unhealthy,209.0,UG/M3,1 Hr,Valid
44,New Delhi,PM2.5 - Principal,2020-01-02 10:00 PM,2020,1,2,22,200.9,251.0,Very Unhealthy,235.0,UG/M3,1 Hr,Valid
45,New Delhi,PM2.5 - Principal,2020-01-02 11:00 PM,2020,1,2,23,245.4,295.0,Very Unhealthy,290.0,UG/M3,1 Hr,Valid
46,New Delhi,PM2.5 - Principal,2020-01-03 12:00 AM,2020,1,3,0,336.2,386.0,Hazardous,427.0,UG/M3,1 Hr,Valid
47,New Delhi,PM2.5 - Principal,2020-01-03 01:00 AM,2020,1,3,1,392.6,429.0,Hazardous,449.0,UG/M3,1 Hr,Valid
48,New Delhi,PM2.5 - Principal,2020-01-03 02:00 AM,2020,1,3,2,416.3,444.0,Hazardous,440.0,UG/M3,1 Hr,Valid
49,New Delhi,PM2.5 - Principal,2020-01-03 03:00 AM,2020,1,3,3,418.7,446.0,Hazardous,421.0,UG/M3,1 Hr,Valid
50,New Delhi,PM2.5 - Principal,2020-01-03 04:00 AM,2020,1,3,4,396.3,431.0,Hazardous,374.0,UG/M3,1 Hr,Valid
51,New Delhi,PM2.5 - Principal,2020-01-03 05:00 AM,2020,1,3,5,364.2,410.0,Hazardous,332.0,UG/M3,1 Hr,Valid
52,New Delhi,PM2.5 - Principal,2020-01-03 06:00 AM,2020,1,3,6,338.1,388.0,Hazardous,312.0,UG/M3,1 Hr,Valid
53,New Delhi,PM2.5 - Principal,2020-01-03 07:00 AM,2020,1,3,7,324.0,374.0,Hazardous,310.0,UG/M3,1 Hr,Valid
54,New Delhi,PM2.5 - Principal,2020-01-03 08:00 AM,2020,1,3,8,319.0,369.0,Hazardous,314.0,UG/M3,1 Hr,Valid
55,New Delhi,PM2.5 - Principal,2020-01-03 09:00 AM,2020,1,3,9,318.7,369.0,Hazardous,317.0,UG/M3,1 Hr,Valid
56,New Delhi,PM2.5 - Principal,2020-01-03 10:00 AM,2020,1,3,10,289.5,340.0,Hazardous,251.0,UG/M3,1 Hr,Valid
57,New Delhi,PM2.5 - Principal,2020-01-03 11:00 AM,2020,1,3,11,205.7,256.0,Very Unhealthy,127.0,UG/M3,1 Hr,Valid
58,New Delhi,PM2.5 - Principal,2020-01-03 12:00 PM,2020,1,3,12,135.8,192.0,Unhealthy,66.0,UG/M3,1 Hr,Valid
59,New Delhi,PM2.5 - Principal,2020-01-03 01:00 PM,2020,1,3,13,86.3,167.0,Unhealthy,37.0,UG/M3,1 Hr,Valid
60,New Delhi,PM2.5 - Principal,2020-01-03 02:00 PM,2020,1,3,14,65.6,156.0,Unhealthy,45.0,UG/M3,1 Hr,Valid
61,New Delhi,PM2.5 - Principal,2020-01-03 03:00 PM,2020,1,3,15,52.2,142.0,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
