Country,Value
AUSTRALIA,20.339394006099997
AUSTRIA,29.2189200043
BELGIUM,15.5590294204
CANADA,11.904639091300002
CZECH REPUBLIC,21.9107897242
DENMARK,16.3251389687
FINLAND,13.2505463677
FRANCE,27.254375638200003
GERMANY,37.7814662804
GREECE,35.139523972199996
HUNGARY,22.620675427800002
ICELAND,20.4592802933
IRELAND,14.2178776602
ITALY,21.4872569462
JAPAN,21.3727271711
KOREA,16.9364516723
LUXEMBOURG,51.0914028394
MEXICO,14.2882426797
NETHERLANDS,22.5122992489
NEW ZEALAND,33.3631565274
NORWAY,17.5692664717
POLAND,39.5739594274
PORTUGAL,22.8251054834
SLOVAK REPUBLIC,37.5951777103
SPAIN,28.1284682519
SWEDEN,14.3619939269
SWITZERLAND,12.232355836099998
UNITED KINGDOM,28.6130441042
UNITED STATES,11.746077077899999
CHILE,20.9114227288
COLOMBIA,17.178888793
COSTA RICA,30.6301486567
ESTONIA,20.043359162999998
ISRAEL,23.9341148213
LATVIA,18.1839529348
LITHUANIA,17.0048157517
SLOVENIA,40.4552674571
