IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,Reference Period Code,Reference Period,Value,Flag Codes,Flags
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUS,Australia,NBR,Number,,,380.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,AUS,Australia,NBR,Number,,,353.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUS,Australia,NBR,Number,,,38.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUS,Australia,NBR,Number,,,10.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUS,Australia,NBR,Number,,,59.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,AUS,Australia,NBR,Number,,,107.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,101.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,101.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,6.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,4.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,17.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,27.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,6.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,4.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,,,17.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,84.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,65.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,2.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,4.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,12.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,18.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,2.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,4.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,,,12.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CAN,Canada,NBR,Number,,,221.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CAN,Canada,NBR,Number,,,209.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CAN,Canada,NBR,Number,,,10.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CAN,Canada,NBR,Number,,,31.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,CAN,Canada,NBR,Number,,,52.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,CAN,Canada,NBR,Number,,,10.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,CAN,Canada,NBR,Number,,,31.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,,,95.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,,,92.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,,,1.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,,,10.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,,,4.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,,,15.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,71.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,54.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,2.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,1.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,6.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,9.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,2.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,1.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,,,6.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,75.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,67.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,4.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,1.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,2.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,7.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,4.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,1.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,FIN,Finland,NBR,Number,,,2.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,FRA,France,NBR,Number,,,125.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,FRA,France,NBR,Number,,,4.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,FRA,France,NBR,Number,,,3.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,FRA,France,NBR,Number,,,10.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,FRA,France,NBR,Number,,,17.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,107.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,98.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,10.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,7.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,22.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,39.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,10.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,7.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,DEU,Germany,NBR,Number,,,22.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,115.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,113.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,13.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,3.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,13.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,29.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,13.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,3.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,,,13.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,87.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,76.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,3.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,5.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,6.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,14.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,3.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,5.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,,,6.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ISL,Iceland,NBR,Number,,,4.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,,,57.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,,,46.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ITA,Italy,NBR,Number,,,126.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,ITA,Italy,NBR,Number,,,8.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,ITA,Italy,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,ITA,Italy,NBR,Number,,,13.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,ITA,Italy,NBR,Number,,,23.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,JPN,Japan,NBR,Number,,,160.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,JPN,Japan,NBR,Number,,,12.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,JPN,Japan,NBR,Number,,,13.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,JPN,Japan,NBR,Number,,,9.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,JPN,Japan,NBR,Number,,,34.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,125.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,1.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,4.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,1.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,9.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,14.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,0.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,0.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,,,0.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,564.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,162.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,50.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,9.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,91.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,150.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,20.0,,
