CertifyingAgent,CertifyingAgentWebsite,CertifyingAgentEmail
"Vermont Organic Farmers, LLC",www.nofavt.org,Info@nofavt.org
Baystate Organic Certifiers,www.baystateorganic.org,dfranczyk@baystateorganic.org
Oregon Tilth Certified Organic,www.tilth.org,organic@tilth.org
"CCOF Certification Services, LLC",www.ccof.org,ccof@ccof.org
"Midwest Organic Services Association, Inc.",www.mosaorganic.org,mosa@mosaorganic.org
Natural Food Certifiers,www.nfccertification.com,nfccertification@gmail.com
Quality Assurance International,www.qai-inc.com,info@qai-inc.com
Quality Certification Services,www.QCSinfo.org,accreditation@qcsinfo.org
EcoCert S.A.,www.ecocert.com,office.international@ecocert.com
Pennsylvania Certified Organic,www.paorganic.org,pco@paorganic.org
Where Food Comes From Organic (formerly A Bee Organic),www.wfcforganic.com,info@wfcforganic.com
"International Certification Services, Inc (ICS Owned and Operated by WFCFO)",www.ics-intl.com,info@ics-intl.com
