STATION,NAME,DATE,PRCP,SNOW,SNWD,WESD,WESF
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/5/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/6/19,0.35,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/7/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/8/19,0.23,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/9/19,0.04,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/10/19,0.27,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/11/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/12/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/13/19,1.17,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/14/19,0.08,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/15/19,0.6,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/16/19,0.19,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/17/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/18/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/19/19,0.04,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/20/19,0.41,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/25/19,,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/26/19,0.07,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/27/19,2.19,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/28/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/29/19,0.06,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",4/30/19,0.19,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/1/19,0.03,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/2/19,0.05,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/3/19,0,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/4/19,0.33,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/5/19,0.12,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/6/19,0.92,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/7/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/8/19,0.02,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/9/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/10/19,0,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/11/19,0.03,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/12/19,0.23,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/13/19,0.99,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/14/19,0.54,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/15/19,0.05,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/16/19,0.03,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/17/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/18/19,0.08,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/19/19,0,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/20/19,0.31,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/21/19,0.31,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/22/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/23/19,0.11,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/24/19,0.03,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/25/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/26/19,0.05,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/27/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/28/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/29/19,1.06,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/30/19,0.84,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",5/31/19,0.56,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/1/19,0.02,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/2/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/3/19,0.09,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/4/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/5/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/6/19,0,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/7/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/8/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/9/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/10/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/11/19,1.18,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/12/19,0.06,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/13/19,0.01,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/14/19,0.41,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/15/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/16/19,0.09,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/17/19,0.11,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/18/19,0.04,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/19/19,1.75,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/20/19,0.08,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/21/19,0.19,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/22/19,0.08,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/23/19,0.03,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/24/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/25/19,0,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/26/19,0.47,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/27/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/28/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/29/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",6/30/19,0.38,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/1/19,0.03,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/2/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/3/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/4/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/5/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/6/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/7/19,0.17,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/8/19,0,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/9/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/10/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/11/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/12/19,0.33,0,0,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/13/19,0.03,,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/14/19,0,0,,,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/15/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/16/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/17/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/18/19,0.36,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/19/19,0.47,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/20/19,0.02,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/21/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/22/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/23/19,1.93,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/24/19,0.22,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/25/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/26/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/27/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/28/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/29/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/30/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",7/31/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/1/19,0.29,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/4/19,,,0,0,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/5/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/6/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/7/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/8/19,0.34,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/9/19,0.04,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/10/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/11/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/12/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/13/19,0.02,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/14/19,0.97,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/15/19,0.02,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/16/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/17/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/18/19,0.47,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/19/19,0.03,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/20/19,0.38,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/21/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/22/19,0.04,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/23/19,0.37,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/24/19,0.17,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/25/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/26/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/27/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/28/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/29/19,0.48,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/30/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",8/31/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/1/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/2/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/3/19,0.87,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/4/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/5/19,0.65,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/6/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/7/19,0.34,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/8/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/9/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/10/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/11/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/12/19,0.02,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/13/19,0.03,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/15/19,0.13,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/16/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/25/19,,,0,0,
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/26/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/27/19,0.49,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/28/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/29/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",9/30/19,0,0,,,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/1/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/2/19,0.08,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/3/19,0.06,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/4/19,0.45,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/5/19,0.03,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/6/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/7/19,0,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/8/19,0.11,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/9/19,0.03,0,0,0,0
US1CTNH0057,"NEW HAVEN 2.9 NNW, CT US",10/10/19,0.7,0,0,0,0
