,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
4002,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-01,51,,36.0
4003,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-02,57,,40.0
4004,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-03,58,73.0,46.0
4005,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-04,56,74.0,46.0
4006,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-05,58,71.0,45.0
4007,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-06,59,70.0,50.0
4008,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-07,59,66.0,53.0
4009,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-08,56,66.0,
4010,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-09,51,,
4011,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-10,51,,42.0
4012,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-11,54,68.0,42.0
4013,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-12,56,,45.0
4014,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-13,58,74.0,46.0
4015,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-14,55,68.0,
4016,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-15,57,,44.0
4017,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-16,56,68.0,49.0
4018,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-17,56,,
4019,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-18,54,64.0,47.0
4020,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-19,52,64.0,45.0
4021,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-01-20,53,62.0,47.0
